Find ID,date,Species,Structure,Condition,Long,Lat,Location,Zone
WDN42,28/11/2018,WD,fur bone,dry,564237.4901,5866035.637,Swift Creek,
WDN43,29/11/2018,WD,fur,moist,560357.4969,5871066.259,Swift Creek,
WDN44,29/11/2018,FOX?,fur,dry,562887.6475,5871593.287,Swift Creek,
WDN45,29/11/2018,,bone,dry,562965.57,5871630.756,Swift Creek,
WDN46,29/11/2018,WD,fur bone,moist,556761.3638,5866545.592,Swift Creek,
WDN47,29/11/2018,WD,fur,moist,556651.5692,5866761.246,Swift Creek,
WDN48,29/11/2018,WD,fur,moist,556656.7393,5866805.477,Swift Creek,
WDN49,29/11/2018,WD,fur,fresh,556594.8466,5867031.453,Swift Creek,
WDN05,14/11/2018,maybe fox,fur bugs,moist,437031.4241,5902649.451,Mansfield,
WDN50,29/11/2018,WD,fur,,556595.3363,5867037.988,Swift Creek,
WDN06,14/11/2018,wd,bone fur,Old,437110.1126,5902618.308,Mansfield,
WDN07,14/11/2018,wd,bone fur,fresh,437132.6573,5902601.728,Mansfield,
WDN08,14/11/2018,wd,bone,moist,437184.2892,5902561.056,Mansfield,
WDN09,14/11/2018,wd,fur,dry,437227.6447,5902508.242,Mansfield,
Lw01,15/11/2018,WD,,,441352,5903770,Mansfield,55 H 
Lw02,7/01/2019,WD,,,556678,5865911,Swift Creek,55 H 
Lw03,7/01/2019,WD,,,556685,5866808,Swift Creek,55 H 
Lw04,7/01/2019,WD,,,556613,5866958,Swift Creek,55 H 
Lw05,7/01/2019,WD,,,556270,5867962,Swift Creek,55 H 
MC22,15/11/2018,WD,,,441778,5905117,Mansfield,55 H 
WDJ42,15/11/2018,FOX,"fur, bones",dry,,,Mansfield,
WDJ43,15/11/2018,FOX,bugs,dry,,,Mansfield,
WDN35,15/11/2018,WD,fur,fresh,,,Mansfield,
,,,,,,,,
